"","Tray","Sample","ID","Dye","Vol_ml","well","1","2","3","n","meanOD","m","b","r","Tray","Protein","well","Protein_b","rsq_b","Protein_mgml"
"C318",5,22,"s3_card_4","OLD_660",5,"5.22",0.1514,0.1598,0.2498,22,0.187,0.0418,0.049,0.976,"5",3.30143540669857,"5.22",3.19242424242424,0.977,3.2469298245614
"D318",5,23,"s3_pcyl_1","OLD_660",5,"5.23",0.1804,0.219,0.2394,23,0.212933333333333,0.0418,0.049,0.976,"5",3.92185007974482,"5.23",3.71439393939394,0.977,3.81812200956938
"E318",5,24,"s3_brug_1","OLD_660",5,"5.24",0.0983,0.1048,0.1021,24,0.101733333333333,0.0418,0.049,0.976,"5",1.2615629984051,"5.24",1.23409090909091,0.977,1.24782695374801
"F318",5,25,"s3_ten_2","OLD_660",5,"5.25",0.1242,0.133,0.1661,25,0.1411,0.0418,0.049,0.976,"5",2.20334928229665,"5.25",2.18030303030303,0.977,2.19182615629984
"G318",5,26,"s3_card_3","OLD_660",5,"5.26",0.3031,0.3587,0.3552,26,0.339,0.0418,0.049,0.976,"5",6.9377990430622,"5.26",6.6969696969697,0.977,6.81738437001595
"H318",5,27,"s3_stag_3","OLD_660",5,"5.27",0.1449,0.1516,0.1461,27,0.147533333333333,0.0418,0.049,0.976,"5",2.35725677830941,"5.27",2.38939393939394,0.977,2.37332535885167
"F47",6,1,"s3_brug_4","OLD_660",5,"6.1",0.1584,0.1786,0.1524,1,0.163133333333333,0.043,0.05,0.988,"6",2.63100775193799,"6.1",2.66666666666667,0.986,2.64883720930233
"G47",6,2,"s3_brug_2","OLD_660",5,"6.2",0.0975,0.1023,0.0984,2,0.0994,0.043,0.05,0.988,"6",1.14883720930233,"6.2",1.16780045351474,0.986,1.15831883140853
"H47",6,3,"s3_card_1","OLD_660",5,"6.3",0.1373,0.1288,0.1138,3,0.126633333333333,0.043,0.05,0.988,"6",1.78217054263566,"6.3",1.81557067271353,0.986,1.79887060767459
"A120",6,4,"s3_brug_3","OLD_660",4,"6.4",0.1039,0.0986,0.1034,4,0.101966666666667,0.043,0.05,0.988,"6",1.20852713178295,"6.4",1.23809523809524,0.986,1.22331118493909
"B120",6,5,"s3_ten_1","OLD_660",5,"6.5",0.1427,0.1399,0.1382,5,0.140266666666667,0.043,0.05,0.988,"6",2.09922480620155,"6.5",2.08087679516251,0.986,2.09005080068203
"C120",6,6,"s3_stag_2","OLD_660",5,"6.6",0.1253,0.1416,0.1272,6,0.131366666666667,0.043,0.05,0.988,"6",1.8922480620155,"6.6",1.89266817838246,0.986,1.89245812019898
"D120",6,7,"s3_pdam_1","OLD_660",5,"6.7",0.213,0.2109,0.1831,7,0.202333333333333,0.043,0.05,0.988,"6",3.54263565891473,"6.7",3.57974300831444,0.986,3.56118933361458
"E120",6,8,"s3_pdam_2","OLD_660",5,"6.8",0.1733,0.1741,0.1654,8,0.170933333333333,0.043,0.05,0.988,"6",2.81240310077519,"6.8",2.7588813303099,0.986,2.78564221554255
"F121",6,9,"s3_pdam_3","OLD_660",5,"6.9",0.1908,0.1666,0.2038,9,0.187066666666667,0.043,0.05,0.988,"6",3.18759689922481,"6.9",3.15192743764172,0.986,3.16976216843327
"G121",6,10,"s3_ten_3","OLD_660",5,"6.10",0.127,0.1226,0.1275,10,0.1257,0.043,0.05,0.988,"6",1.76046511627907,"6.10",1.83068783068783,0.986,1.79557647348345
"H121",6,11,"s3_pcyl_4","OLD_660",5,"6.11",0.2462,0.2837,0.2596,11,0.263166666666667,0.043,0.05,0.988,"6",4.95736434108527,"6.11",5.01587301587302,0.986,4.98661867847914
"A220",6,12,"s3_pcyl_3","OLD_660",5,"6.12",0.2699,0.2294,0.2094,12,0.236233333333333,0.043,0.05,0.988,"6",4.33100775193798,"6.12",4.40589569160998,0.986,4.36845172177398
"B220",6,13,"s3_pcyl_2","OLD_660",5,"6.13",0.2406,0.254,0.2575,13,0.2507,0.043,0.05,0.988,"6",4.66744186046512,"6.13",4.71730914588057,0.986,4.69237550317285
"C220",6,14,"s3_card_2","OLD_660",5,"6.14",0.1092,0.1043,0.105,14,0.106166666666667,0.043,0.05,0.988,"6",1.3062015503876,"6.14",1.28193499622071,0.986,1.29406827330415
"D220",6,15,"s3_hya_3","OLD_660",5,"6.15",0.1173,0.1112,0.1239,15,0.117466666666667,0.043,0.05,0.988,"6",1.56899224806202,"6.15",1.61451247165533,0.986,1.59175235985867
"F49",7,1,"s2_prus_3","OLD_660",5,"7.1",0.1905,0.202,0.1995,1,0.197333333333333,0.0495,0.05,0.962,"7",2.97643097643098,"7.1",2.97309711286089,0.968,2.97476404464593
"G49",7,2,"s3_hya_1","OLD_660",5,"7.2",0.1734,0.1853,0.1772,2,0.178633333333333,0.0495,0.05,0.962,"7",2.5986531986532,"7.2",2.59580052493438,0.968,2.59722686179379
"H49",7,3,"s2_ten_2","OLD_660",5,"7.3",0.1158,0.122,0.1167,3,0.118166666666667,0.0495,0.05,0.962,"7",1.37710437710438,"7.3",1.40354330708661,0.968,1.3903238420955
"A122",7,4,"s2_pdam_1","OLD_660",5,"7.4",0.4593,0.4357,0.3983,4,0.4311,0.0495,0.05,0.962,"7",7.6989898989899,"7.4",7.72900262467192,0.968,7.71399626183091
"B122",7,5,"s2_pdam_3","OLD_660",5,"7.5",0.1596,0.1489,0.1677,5,0.158733333333333,0.0495,0.05,0.962,"7",2.196632996633,"7.5",2.23031496062992,0.968,2.21347397863146
"C122",7,6,"s2_prus_2","OLD_660",3,"7.6",0.3404,0.2604,0.3222,6,0.307666666666667,0.0495,0.05,0.962,"7",5.20538720538721,"7.6",5.27624671916011,0.968,5.24081696227366
"D122",7,7,"s2_pcyl_3","OLD_660",5,"7.7",0.1224,0.1233,0.1257,7,0.1238,0.0495,0.05,0.962,"7",1.49090909090909,"7.7",1.47309711286089,0.968,1.48200310188499
"E122",7,8,"s2_stag_2","OLD_660",5,"7.8",0.194,0.1861,0.1842,8,0.1881,0.0495,0.05,0.962,"7",2.78989898989899,"7.8",2.81364829396325,0.968,2.80177364193112
"F123",7,9,"s2_pdam_2","OLD_660",5,"7.9",0.2406,0.2441,0.2098,9,0.2315,0.0495,0.05,0.962,"7",3.66666666666667,"7.9",3.75984251968504,0.968,3.71325459317585
"G123",7,10,"s2_brug_1","OLD_660",5,"7.10",0.1911,0.2019,0.2386,10,0.210533333333333,0.0495,0.05,0.962,"7",3.24309764309764,"7.10",3.27165354330709,0.968,3.25737559320236
"H123",7,11,"s2_brug_3","OLD_660",5,"7.11",0.1427,0.1574,0.1647,11,0.154933333333333,0.0495,0.05,0.962,"7",2.11986531986532,"7.11",2.15551181102362,0.968,2.13768856544447
"A222",7,12,"s2_pver_1","OLD_660",5,"7.12",0.2209,0.234,0.1988,12,0.2179,0.0495,0.05,0.962,"7",3.39191919191919,"7.12",3.3996062992126,0.968,3.3957627455659
"B222",7,13,"s2_hya_4","OLD_660",5,"7.13",0.1993,0.2113,0.1996,13,0.2034,0.0495,0.05,0.962,"7",3.0989898989899,"7.13",3.08070866141732,0.968,3.08984928020361
"C222",7,14,"s2_hya_2","OLD_660",5,"7.14",0.2212,0.2415,0.2247,14,0.229133333333333,0.0495,0.05,0.962,"7",3.61885521885522,"7.14",3.58661417322835,0.968,3.60273469604178
"D222",7,15,"s2_hya_1","OLD_660",5,"7.15",0.1341,0.1199,0.1209,15,0.124966666666667,0.0495,0.05,0.962,"7",1.51447811447811,"7.15",1.53937007874016,0.968,1.52692409660914
"F51",8,1,"s1_goni_3","OLD_660",5,"8.1",0.5815,0.7308,0.5334,1,0.615233333333333,0.0454,0.05,0.979,"8",12.4500734214391,"8.1",11.8891257995736,0.983,12.1695996105063
"G51",8,2,"s1_goni_1","OLD_660",2.5,"8.2",0.4357,0.7995,0.3105,2,0.515233333333333,0.0454,0.05,0.979,"8",10.2474302496329,"8.2",10.1051883439943,0.983,10.1763092968136
"H51",8,3,"s6_goni_1","OLD_660",5,"8.3",0.2381,0.2252,0.2091,3,0.224133333333333,0.0454,0.05,0.979,"8",3.83553597650514,"8.3",3.66169154228856,0.983,3.74861375939685
"A124",8,4,"s4a_goni_2","OLD_660",4,"8.4",0.4327,0.3642,0.3721,4,0.389666666666667,0.0454,0.05,0.979,"8",7.48164464023495,"8.4",7.38308457711443,0.983,7.43236460867469
"B124",8,5,"s1_goni_2","OLD_660",5,"8.5",0.3449,0.7596,0.5503,5,0.5516,0.0454,0.05,0.979,"8",11.0484581497797,"8.5",10.319829424307,0.983,10.6841437870434
"C124",8,6,"s6_hya_3","OLD_660",5,"8.6",0.1552,0.154,0.1426,6,0.1506,0.0454,0.05,0.979,"8",2.215859030837,"8.6",2.13574982231699,0.983,2.175804426577
"D124",8,7,"s1b_pdam_1","OLD_660",5,"8.7",0.1836,0.1641,0.1594,7,0.169033333333333,0.0454,0.05,0.979,"8",2.62187958883994,"8.7",2.5273631840796,0.983,2.57462138645977
"E124",8,8,"s1b_brug_1","OLD_660",5,"8.8",0.1076,0.0961,0.1034,8,0.102366666666667,0.0454,0.05,0.979,"8",1.15345080763583,"8.8",1.08315565031983,0.983,1.11830322897783
"F125",8,9,"s6_goni_2","OLD_660",5,"8.9",0.2728,0.2453,0.2695,9,0.262533333333333,0.0454,0.05,0.979,"8",4.68135095447871,"8.9",4.48329779673063,0.983,4.58232437560467
"G125",8,10,"s6_hum_2","OLD_660",5,"8.10",0.2193,0.2124,0.2016,10,0.2111,0.0454,0.05,0.979,"8",3.54845814977974,"8.10",3.39374555792466,0.983,3.4711018538522
"H125",8,11,"s6_hya_2","OLD_660",5,"8.11",0.1757,0.1585,0.16,11,0.164733333333333,0.0454,0.05,0.979,"8",2.52716593245228,"8.11",2.45131485429993,0.983,2.4892403933761
"A224",8,12,"s6_hum_1","OLD_660",5,"8.12",0.1609,0.1687,0.206,12,0.178533333333333,0.0454,0.05,0.979,"8",2.83113069016153,"8.12",2.65245202558635,0.983,2.74179135787394
"B224",8,13,"s6_pdam_2","OLD_660",5,"8.13",0.233,0.2192,0.2221,13,0.224766666666667,0.0454,0.05,0.979,"8",3.84948604992658,"8.13",3.74626865671642,0.983,3.7978773533215
"C224",8,14,"s6_hya_4","OLD_660",5,"8.14",0.137,0.1382,0.1389,14,0.138033333333333,0.0454,0.05,0.979,"8",1.93906020558003,"8.14",1.86709310589908,0.983,1.90307665573955
"D224",8,15,"s6_hya_1","OLD_660",5,"8.15",0.1581,0.1457,0.1497,15,0.151166666666667,0.0454,0.05,0.979,"8",2.22834067547724,"8.15",2.14285714285714,0.983,2.18559890916719
"E224",8,16,"s6_goni_3","OLD_660",5,"8.16",0.1826,0.1522,0.1477,16,0.160833333333333,0.0454,0.05,0.979,"8",2.44126284875184,"8.16",2.31698649609097,0.983,2.3791246724214
"F224",8,17,"s1b_lobo_1","OLD_660",5,"8.17",0.6119,0.5248,1.0757,17,0.737466666666667,0.0454,0.05,0.979,"8",15.1424375917768,"8.17",13.5429992892679,0.983,14.3427184405224
"G224",8,18,"s1b_lobo_3","OLD_660",5,"8.18",0.2906,0.2777,0.2258,18,0.2647,0.0454,0.05,0.979,"8",4.72907488986784,"8.18",4.56076759061834,0.983,4.64492124024309
"H224",8,19,"s1b_goni_2","OLD_660",5,"8.19",0.2568,0.299,0.3236,19,0.293133333333333,0.0454,0.05,0.979,"8",5.35535976505139,"8.19",5.06325515280739,0.983,5.20930745892939
"A324",8,20,"s1_poc_3","OLD_660",5,"8.20",0.1796,0.1786,0.1813,20,0.179833333333333,0.0454,0.05,0.979,"8",2.85976505139501,"8.20",2.79601990049751,0.983,2.82789247594626
"B324",8,21,"s1b_goni_1","OLD_660",5,"8.21",0.3816,0.174,0.1896,21,0.2484,0.0454,0.05,0.979,"8",4.37004405286344,"8.21",4.41933191186923,0.983,4.39468798236633
"C324",8,22,"s6_pdam_1","OLD_660",5,"8.22",0.353,0.3196,0.3245,22,0.332366666666667,0.0454,0.05,0.979,"8",6.21953010279001,"8.22",6.04193319118692,0.983,6.13073164698847
"D324",8,23,"s1b_lobo_4","OLD_660",5,"8.23",0.7464,0.6661,0.46,23,0.624166666666667,0.0454,0.05,0.979,"8",12.6468428781204,"8.23",12.4683724235963,0.983,12.5576076508584
"E324",8,24,"s1b_lobo_5","OLD_660",5,"8.24",0.4944,0.6948,0.5893,24,0.592833333333333,0.0454,0.05,0.979,"8",11.9566813509545,"8.24",11.3574982231699,0.983,11.6570897870622
"F324",8,25,"s1_brug_1","OLD_660",5,"8.25",0.1084,0.111,0.1117,25,0.110366666666667,0.0454,0.05,0.979,"8",1.32966226138032,"8.25",1.31058990760483,0.983,1.32012608449258
"G324",8,26,"s1_pcyl_5","OLD_660",5,"8.26",0.2479,0.231,0.2681,26,0.249,0.0454,0.05,0.979,"8",4.38325991189427,"8.26",4.25870646766169,0.983,4.32098318977798
"H324",8,27,"s1_pcyl_2","OLD_660",5,"8.27",0.1355,0.1306,0.1271,27,0.131066666666667,0.0454,0.05,0.979,"8",1.7856093979442,"8.27",1.76119402985075,0.983,1.77340171389747
"F53",9,1,"s1_anac_2","NEW_660",5,"9.1",0.1496,0.1484,0.1524,1,0.150133333333333,0.7077,0.081,0.999,"9",0.0976873439781452,"9.1",0.0940228042045252,0.999,0.0958550740913352
"G53",9,2,"s1_lobo_1","NEW_660",5,"9.2",0.4028,0.3418,0.4298,2,0.391466666666667,0.7077,0.081,0.999,"9",0.438698130092789,"9.2",0.439827186887582,0.999,0.439262658490186
"H53",9,3,"s1_anac_1","NEW_660",5,"9.3",0.2506,0.2855,0.2928,3,0.2763,0.7077,0.081,0.999,"9",0.275964391691395,"9.3",0.269151968644219,0.999,0.272558180167807
