Date,Site.N,Site,Location,Bag,Genus,Species,Species_TB,Plot,Photo.1,Photo.2,Tag,ID,Dewer
09/02/2019,Site 1,Nikko Bay,Inner,3,Porites,Porites cf. cylindrica,Porites cf. cylindrica,1,IMG_1361,IMG_1362,3,s1_pcyl_3,white
09/02/2019,Site 1,Nikko Bay,Inner,4,Porites,Porites cf. cylindrica,Porites cf. cylindrica,1,IMG_1373,IMG_1374,4,s1_pcyl_4,white
09/02/2019,Site 1,Nikko Bay,Inner,5,Porites,Porites cf. cylindrica,Porites cf. cylindrica,1,IMG_1385,IMG_1386,5,s1_pcyl_5,white
09/02/2019,Site 1,Nikko Bay,Inner,10,Porites,Porites cf. rus,Porites cf. rus,2,IMG_1396,IMG_1397,1,s1_prus_1,white
09/02/2019,Site 1,Nikko Bay,Inner,8,Porites,Porites cf. rus,Porites cf. rus,1,IMG_1383,IMG_1384,2,s1_prus_2,white
09/02/2019,Site 1,Nikko Bay,Inner,9,Porites,Porites cf. rus,Porites cf. rus,2,IMG_1393,IMG_1394,3,s1_prus_3,white
09/02/2019,Site 1,Nikko Bay,Inner,7,Porites,Porites cf. rus,Porites cf. rus,1,IMG_1371,IMG_1372,5,s1_prus_5,white
09/02/2019,Site 1,Nikko Bay,Inner,12,Pocillopora,Pocillopora cf. damicornis,Pocillopora cf. damicornis,1,IMG_1379,IMG_1380,1,s1_poc_1,white
09/02/2019,Site 1,Nikko Bay,Inner,13,Pocillopora,Pocillopora cf. damicornis,Pocillopora cf. damicornis,2,IMG_1395,NA,2,s1_poc_2,white
09/02/2019,Site 1,Nikko Bay,Inner,11,Pocillopora,Pocillopora cf. damicornis,Pocillopora cf. damicornis,1,IMG_1367,IMG_1368,3,s1_poc_3,white
09/02/2019,Site 1,Nikko Bay,Inner,NA,Lobophyllia,Lobophyllia cf. hemprichii,Lobophyllia cf. hemprichii,1,IMG_1404,NA,3,s1_lobo_1,white
09/02/2019,Site 1,Nikko Bay,Inner,7,Acropora,Acropora cf. muricata,Acropora cf. muricata,2,IMG_1400,IMG_1401,1,s1_stag_1,white
10/02/2019,Site 2,Pats Dropoff,Outer,1,Isopora,Isopora cf. brueggemanni,Isopora cf. brueggemanni,1,IMG_1438,IMG_1439,1,s2_brug_1,green
10/02/2019,Site 2,Pats Dropoff,Outer,2,Isopora,Isopora cf. brueggemanni,Isopora cf. brueggemanni,1,IMG_1440,IMG_1441,2,s2_brug_2,green
10/02/2019,Site 2,Pats Dropoff,Outer,3,Isopora,Isopora cf. brueggemanni,Isopora cf. brueggemanni,2,IMG_1457,IMG_1458,3,s2_brug_3,green
10/02/2019,Site 2,Pats Dropoff,Outer,25,Acropora,Acropora cf. subglabra,Acropora cf. subglabra,1,Bridge_5138,NA,1,s2_card_1,green
10/02/2019,Site 2,Pats Dropoff,Outer,14,Goniastrea,Goniastrea spp.,Goniastrea cf. favulus,1,IMG_1493,IMG_1494,1,s2_goni_1,red
10/02/2019,Site 2,Pats Dropoff,Outer,24,Acropora,Acropora cf. hyacinthus,Acropora cf. hyacinthus,2,IMG_1461,IMG_1462,1,s2_hya_1,green
10/02/2019,Site 2,Pats Dropoff,Outer,23,Acropora,Acropora cf. hyacinthus,Acropora cf. hyacinthus,2,IMG_1473,IMG_1474,2,s2_hya_2,green
10/02/2019,Site 2,Pats Dropoff,Outer,22,Acropora,Acropora cf. hyacinthus,Acropora cf. hyacinthus,1,IMG_1477,IMG_1478,3,s2_hya_3,green
