"","Location","Site","Circle","Transect","Species","cover","n","SiteID"
"115","Lagoon","Falcon Reef",1,1,"Other Pocillopora",0,0,"E"
"116","Lagoon","Falcon Reef",1,1,"Other Scleractinia",0,0,"E"
"117","Lagoon","Falcon Reef",1,1,"Pocillopora cf. damicornis",0,0,"E"
"118","Lagoon","Falcon Reef",1,1,"Pocillopora cf. verrucosa",0,0,"E"
"119","Lagoon","Falcon Reef",1,1,"Porites cf. cylindrica",29.4,10,"E"
"120","Lagoon","Falcon Reef",1,1,"Porites Massive",3.6,2,"E"
"121","Lagoon","Falcon Reef",1,1,"Porites cf. nigrescens",0,0,"E"
"122","Lagoon","Falcon Reef",1,1,"Porites cf. rus",37.4,11,"E"
"124","Lagoon","Falcon Reef",1,1,"Stylophora cf. pistillata",0,0,"E"
"126","Lagoon","Falcon Reef",1,2,"Acropora cf. subglabra",0,0,"E"
"127","Lagoon","Falcon Reef",1,2,"Acropora cf. humilis",0,0,"E"
"128","Lagoon","Falcon Reef",1,2,"Acropora cf. hyacinthus",0,0,"E"
"129","Lagoon","Falcon Reef",1,2,"Acropora cf. muricata",0,0,"E"
"130","Lagoon","Falcon Reef",1,2,"Acropora cf. tenuis",0,0,"E"
"131","Lagoon","Falcon Reef",1,2,"Agariciidae",0,0,"E"
"132","Lagoon","Falcon Reef",1,2,"Anacropora spinosa",0,0,"E"
"135","Lagoon","Falcon Reef",1,2,"Fungiidae",0,0,"E"
"137","Lagoon","Falcon Reef",1,2,"Goniastrea spp.",0,0,"E"
"140","Lagoon","Falcon Reef",1,2,"Isopora cf. brueggemanni",0,0,"E"
"141","Lagoon","Falcon Reef",1,2,"Lobophyllia spp.",0,0,"E"
"143","Lagoon","Falcon Reef",1,2,"Montipora",0,0,"E"
"144","Lagoon","Falcon Reef",1,2,"Other Lobophyllidae",0,0,"E"
"145","Lagoon","Falcon Reef",1,2,"Other Merulinidae",0,0,"E"
"146","Lagoon","Falcon Reef",1,2,"Other Pocillopora",0,0,"E"
"147","Lagoon","Falcon Reef",1,2,"Other Scleractinia",0,0,"E"
"148","Lagoon","Falcon Reef",1,2,"Pocillopora cf. damicornis",4.3,2,"E"
"149","Lagoon","Falcon Reef",1,2,"Pocillopora cf. verrucosa",0,0,"E"
"150","Lagoon","Falcon Reef",1,2,"Porites cf. cylindrica",20.4,3,"E"
"151","Lagoon","Falcon Reef",1,2,"Porites Massive",14.9,4,"E"
"152","Lagoon","Falcon Reef",1,2,"Porites cf. nigrescens",0,0,"E"
"153","Lagoon","Falcon Reef",1,2,"Porites cf. rus",34.2,8,"E"
"155","Lagoon","Falcon Reef",1,2,"Stylophora cf. pistillata",0,0,"E"
"157","Lagoon","Falcon Reef",1,3,"Acropora cf. subglabra",0,0,"E"
"158","Lagoon","Falcon Reef",1,3,"Acropora cf. humilis",0,0,"E"
"159","Lagoon","Falcon Reef",1,3,"Acropora cf. hyacinthus",3.8,1,"E"
"160","Lagoon","Falcon Reef",1,3,"Acropora cf. muricata",0,0,"E"
"161","Lagoon","Falcon Reef",1,3,"Acropora cf. tenuis",0,0,"E"
"162","Lagoon","Falcon Reef",1,3,"Agariciidae",0,0,"E"
"163","Lagoon","Falcon Reef",1,3,"Anacropora spinosa",0,0,"E"
"166","Lagoon","Falcon Reef",1,3,"Fungiidae",0,0,"E"
"168","Lagoon","Falcon Reef",1,3,"Goniastrea spp.",0,0,"E"
"171","Lagoon","Falcon Reef",1,3,"Isopora cf. brueggemanni",0,0,"E"
"172","Lagoon","Falcon Reef",1,3,"Lobophyllia spp.",0,0,"E"
"174","Lagoon","Falcon Reef",1,3,"Montipora",0,0,"E"
"175","Lagoon","Falcon Reef",1,3,"Other Lobophyllidae",0,0,"E"
"176","Lagoon","Falcon Reef",1,3,"Other Merulinidae",0,0,"E"
"177","Lagoon","Falcon Reef",1,3,"Other Pocillopora",0,0,"E"
