"","Date","Site.N","Site","Location","Bag","Genus","Species","Species_TB","Plot","Photo.1","Photo.2","Tag","ID","Dewer","full_VOLmm3","full_SAmm2","live_SAmm2","Mass_g","SD_gcm3","SAV","Protein_mgml","chl_a","chl_c","zoox","AFDW_5ml","col","colony_area","branch_density","branch_width","branch_height","polyp_size","polyp_density","base_ratio","height","chl_t","protein","biomass"
"26","10/02/2019","Site 2","Pats Dropoff","Outer",1,"Isopora","Isopora cf. brueggemanni","Isopora cf. brueggemanni",1,"IMG_1438","IMG_1439",1,"s2_brug_1","green",11080.5,4392.9,4155.6,16.5,1.48910247732503,0.396453228644917,8.56547517288752,2.47751974444124,0.181978252237945,0.325539633265954,0.026,"#D9CFB9",205,0.190243902439024,1.34166666666667,2.575,0.15,25.6,1.25824175824176,4.825,2.65949799667918,3.09178283745579,1.87698527288478
"27","10/02/2019","Site 2","Pats Dropoff","Outer",2,"Isopora","Isopora cf. brueggemanni","Isopora cf. brueggemanni",1,"IMG_1440","IMG_1441",2,"s2_brug_2","green",4106.1,2065.6,1961.1,6.3,1.53430262292686,0.50305642824091,3.00831382394506,2.34810256998624,-0.478891349242771,0.445540767936362,0.025,"#C5B799",471.875,0.262781456953642,1.25,2.35,0.15,26.6666666666667,1.30555555555556,11.125,1.86921122074347,2.3009896159898,3.82438427413186
"28","10/02/2019","Site 2","Pats Dropoff","Outer",3,"Isopora","Isopora cf. brueggemanni","Isopora cf. brueggemanni",2,"IMG_1457","IMG_1458",3,"s2_brug_3","green",5340.8,3033.4,2931.1,7,1.31066506890354,0.567967345715998,4.02987235834228,3.00282016990208,-0.157602632117635,0.504929889802463,0.043,"#918C76",358.75,0.214634146341463,1.19166666666667,2.70833333333333,0.15,40.96,1.10497237569061,5.6,2.84521753778445,2.06230034373219,4.4010780935485
"29","10/02/2019","Site 2","Pats Dropoff","Outer",25,"Acropora","Acropora cf. subglabra","Acropora cf. subglabra",1,"Bridge_5138",NA,1,"s2_card_1","green",3297.6,4601.6,4478.8,5.5,1.66787967006308,1.3954391072295,8.82329476978568,2.94421793784049,0.419036979771367,0.432314459230151,0.055,"#7E738A",NA,NA,NA,NA,NA,NA,NA,NA,3.36325491761186,2.95501968265574,3.6840225060284
"30","10/02/2019","Site 2","Pats Dropoff","Outer",14,"Goniastrea","Goniastrea spp.","Goniastrea cf. favulus",1,"IMG_1493","IMG_1494",1,"s2_goni_1","red",29722.3,8365.6,5193,51.1,1.71924783748229,0.28145870272489,6.40078713244145,0.625199610051993,0.0025721620450609,0.359618717504333,0.0485,"#B49B8A",43.125,0.0231884057971014,7.3,12.3,0.4,8.32,0.8,12.3,0.627771772097054,1.84886976673641,2.80184864240324
"31","10/02/2019","Site 2","Pats Dropoff","Outer",24,"Acropora","Acropora cf. hyacinthus","Acropora cf. hyacinthus",2,"IMG_1461","IMG_1462",1,"s2_hya_1","green",1119.8,1373.8,1373.8,1.8,1.60742989819611,1.22682621896767,3.6908737143959,3.40014044984713,-0.522792855583052,0.897146600669675,0.038,"#BF8E73",1230,1.06666666666667,0.533333333333333,2.29166666666667,0.1,35.5555555555556,5.26666666666667,13.75,2.87734759426408,4.02992471363652,8.29815111369923
"32","10/02/2019","Site 2","Pats Dropoff","Outer",23,"Acropora","Acropora cf. hyacinthus","Acropora cf. hyacinthus",2,"IMG_1473","IMG_1474",2,"s2_hya_2","green",1418.9,1656.4,1622.5,2.2,1.55049686376771,1.16738318415674,6.08634020349038,4.97708112480739,1.31547723420647,0.938366718027735,0.053,"#83736A",10428.75,2.08,0.433333333333333,0.716666666666667,0.1,51.2,3.61379310344828,17,6.29255835901386,5.62681682911283,9.79969183359014
"33","10/02/2019","Site 2","Pats Dropoff","Outer",22,"Acropora","Acropora cf. hyacinthus","Acropora cf. hyacinthus",1,"IMG_1477","IMG_1478",3,"s2_hya_3","green",1884.8,2064.8,2037.6,2.7,1.43251273344652,1.09550084889643,5.53715130105876,3.81059010600706,0.0658641784452314,0.818364742834708,NA,"#936A45",446.25,2.2,0.375,1.23333333333333,0.075,51.2,4.29166666666667,7,3.87645428445229,4.07623034530239,NA
"34","10/02/2019","Site 2","Pats Dropoff","Outer",25,"Acropora","Acropora cf. hyacinthus","Acropora cf. hyacinthus",2,"IMG_1467","IMG_1468",4,"s2_hya_4","green",4836.6,4826.9,4793.2,9.8,2.02621676384237,0.997994458917421,7.61055221609084,3.55458503713594,1.13873860364683,0.913533756154553,0.043,"#654436",312.5,1.45777777777778,0.608333333333333,1.94166666666667,0.1,69.12,3.59183673469388,15.25,4.69332364078278,2.38167160229831,2.69131269298172
"35","10/02/2019","Site 2","Pats Dropoff","Outer",6,"Porites","Porites cf. cylindrica","Porites cf. cylindrica",1,"IMG_1449","IMG_1450",3,"s2_pcyl_3","green",5372,2459.2,2327.3,5.6,1.04244229337305,0.457781087118392,1.52471024359968,1.17323273750699,-0.294360385425171,0.807265930477377,0.03,"#9B977B",3018.75,0.2944,1.225,2.925,0.075,64,1.32274741506647,19.2,0.878872352081815,0.982711883040227,3.86714218192756
