,Site,IMG,planar_area,n_branches,n_in_area,branch_width1,branch_width2,branch_width3,corallite_width,n_corallites,box_width,IMG_side,colony_height,branch_height1,branch_height2,branch_height3,base_width,top_width,colour
145,Site 6,IMG_1909,4.8,1,4.8,2.4,NA,NA,0.1,11,0.5,IMG_1910,2,2,NA,NA,2,1.2,pale_brown
146,Site 6,IMG_1911,48,49,48,0.73,0.75,0.8,0.07,11,0.25,IMG_1912,4.2,1.3,1.3,1,4.3,6.1,red_brown
147,Site 6,IMG_1913,26.6,39,26.6,0.66,0.63,0.56,0.06,9,0.25,IMG_1914,3.8,1.4,1.2,1.5,3.9,6.1,pale_blue
148,Site 7,IMG_2120,719.7,40,9,0.34,0.34,0.39,0.03,15,0.25,IMG_2121,18.9,0.8,0.9,0.65,37,18,pale
149,Site 7,IMG_2125,14.7,24,14.7,0.64,0.63,0.81,0.03,27,0.25,IMG_2126,3.8,0.76,0.79,0.8,2.5,5,pale_yellow
150,Site 7,IMG_2127,27.1,24,27.1,0.6,1,0.8,0.02,30,0.25,IMG_2128,4,1.2,1.2,1.4,5.9,8.9,red_brown
151,Site 7,IMG_2129,52.9,32,52.9,1.1,1.1,1.3,0.03,21,0.25,IMG_2130,4.7,1,1,1.3,4.9,6.5,red_brown
152,Site 7,IMG_2131,9.7,21,9.7,0.5,0.5,0.78,0.02,33,0.25,IMG_2132,3.5,1.1,1,1,3.6,5.6,pale_yellow
153,Site 7,IMG_2133,20.1,20,20.1,1.3,1.4,1.2,0.01,20,0.25,IMG_2134,5.8,1.45,1.8,1.4,3.2,4.9,pale_yellow
154,Site 7,IMG_2135,15.9,25,15.9,0.62,0.63,0.85,0.02,34,0.25,IMG_2136,1.7,0.6,0.6,0.8,3.1,5.2,pale_red
155,Site 7,IMG_2137,12.8,10,12.8,0.8,0.7,0.5,0.02,58,0.25,IMG_2138,3.9,1.9,1.3,0.9,6,3.4,pale_brown
156,Site 7,IMG_2139,22.9,24,22.9,0.85,1,0.9,0.02,23,0.25,IMG_2140,4.1,1.1,1.2,1.05,3.4,6.4,pale_yellow
157,Site 7,IMG_2141,21.6,8,21.6,1,0.7,0.7,0.01,48,0.25,IMG_2142,6.8,1.8,1.9,2.1,5.5,3.6,blue
158,Site 7,IMG_2152,15.8,55,15.8,0.4,0.4,0.3,0.03,27,0.25,IMG_2153,2.77,0.8,0.77,0.8,2.7,4.7,pale_brown
159,Site 7,IMG_2154,10.6,11,10.6,0.37,0.4,0.29,0.04,20,0.25,IMG_2155,4.18,2.2,1.6,1.7,2.3,3.8,pale_brown
160,Site 1b,IMG_2181,80.3,19,25,0.25,0.35,0.32,0.04,15,0.25,IMG_2812,4,2.1,1.6,1.3,6.2,11.3,red_brown
161,Site 1b,IMG_2183,18.7,20,18.7,0.33,0.37,0.36,0.06,4,0.25,IMG_2184,4.5,1.1,1.2,1.7,3.1,7.3,brown
162,Site 1b,IMG_2185,358.8,2,358.8,18.8,3.5,NA,1,17,25,IMG_2186,9.3,7.5,5.6,NA,23,11,blue
163,Site 1b,IMG_2187,177.6,1,177.6,15,NA,NA,1.1,19,16,IMG_2188,5.1,5.3,NA,NA,10,7,red_brown
164,Site 1b,IMG_2189,548.7,1,548.7,26,NA,NA,0.8,12,9,IMG_2190,16.7,16.7,NA,NA,34,17,blue
165,Site 1b,IMG_2197,33.1,1,33.1,5.5,NA,NA,1.3,17,33.1,IMG_2198,4.9,4.9,NA,NA,5,4,red_brown
166,Site 1b,IMG_2199,181.5,1,181.5,18,NA,NA,1.6,11,16,IMG_2200,11,11,NA,NA,18,15,blue_brown
167,Site 1b,IMG_2210,27.7,12,27.7,1.2,1.8,1.4,0.18,5,0.5,IMG_2211,7.3,2.1,1.4,1.9,4.6,2.9,red_brown
168,Site 1b,IMG_2212,268.7,35,268.7,2.3,1.7,1.8,0.15,16,1,IMG_2213,18.9,4,4.6,7,20,19,red_brown
169,Site 1b,IMG_2214,97.7,14,97.7,1.6,1.3,1,0.19,13,1,IMG_2215,12.7,3,2.5,2.3,10,9,red_brown
