"","well","ID","A630_mean","A630_blanks","A630_Abs","A663_mean","A663_blanks","A663_Abs","A750_mean","A750_blanks","A750_Abs","chl_a","chl_c"
"49","4.30","s1b_goni_2",0.1511,0.0528,0.0983,0.4736,0.05145,0.42215,0.0382333333333333,0.0485583333333333,-0.010325,4.87366925,1.372767
"50","4.11","s1b_lobo_1",0.2022,0.0528,0.1494,0.5374,0.05145,0.48595,0.0742333333333333,0.0485583333333333,0.025675,5.18175925,1.680912
"51","4.6","s1b_lobo_3",0.0929333333333333,0.0528,0.0401333333333333,0.220266666666667,0.05145,0.168816666666667,0.0382,0.0485583333333333,-0.0103583333333333,2.01565558333333,0.717414
"52","4.20","s1b_lobo_4",0.220733333333333,0.0528,0.167933333333333,0.599733333333333,0.05145,0.548283333333333,0.0391666666666667,0.0485583333333333,-0.00939166666666666,6.26073725,2.779374
"53","4.29","s1b_lobo_5",0.2423,0.0528,0.1895,0.678266666666667,0.05145,0.626816666666667,0.0386333333333333,0.0485583333333333,-0.009925,7.15032525,3.091051
"54","4.13","s1b_pdam_1",0.131533333333333,0.0528,0.0787333333333333,0.3536,0.05145,0.30215,0.039,0.0485583333333333,-0.00955833333333333,3.50631958333333,1.26032
"55","1.5","s2_brug_1",0.331583333333333,0.127483333333333,0.2041,0.6059,0.120541666666667,0.485358333333333,0.263216666666667,0.114575,0.148641666666667,3.81317816666667,0.280084750000002
"56","1.19","s2_brug_2",0.299766666666667,0.127483333333333,0.172283333333333,0.435233333333333,0.120541666666667,0.314691666666667,0.27965,0.114575,0.165075,1.70550516666667,-0.347834749999999
"57","1.22","s2_brug_3",0.25185,0.127483333333333,0.124366666666667,0.499766666666667,0.120541666666667,0.379225,0.2068,0.114575,0.092225,3.25983933333333,-0.17109225
"58","1.10","s2_card_1",0.36525,0.127483333333333,0.237766666666667,0.706733333333333,0.120541666666667,0.586191666666667,0.2688,0.114575,0.154225,4.88391233333333,0.69510475
"59","6.11","s2_goni_1",0.0738166666666667,0.153816666666667,-0.08,0.154816666666667,0.143195833333333,0.0116208333333333,0.0374,0.1317875,-0.0943875,1.20246725,0.00494712500000047
"60","1.20","s2_hya_1",0.29355,0.127483333333333,0.166066666666667,0.428016666666667,0.120541666666667,0.307475,0.2701,0.114575,0.155525,1.73004183333333,-0.266004749999999
"61","1.15","s2_hya_2",0.355716666666667,0.127483333333333,0.228233333333333,0.564566666666667,0.120541666666667,0.444025,0.301516666666667,0.114575,0.186941666666667,2.91203583333333,0.18537875
"62","1.17","s2_hya_2",0.225033333333333,0.0980833333333333,0.12695,0.401666666666667,0.0893833333333333,0.312283333333333,0.120966666666667,0.0821833333333333,0.0387833333333333,3.06967833333333,1.39563
"63","1.17","s2_hya_3",0.2045,0.156883333333333,0.0476166666666667,0.4171,0.1517,0.2654,0.158766666666667,0.146966666666667,0.0118,2.87572533333333,0.0497055000000013
"64","1.24","s2_hya_4",0.220966666666667,0.127483333333333,0.0934833333333333,0.624766666666667,0.120541666666667,0.504225,0.0583333333333333,0.114575,-0.0562416666666667,6.31031,2.02155625
"65","1.2","s2_pcyl_3",0.25585,0.127483333333333,0.128366666666667,0.335016666666667,0.120541666666667,0.214475,0.240433333333333,0.114575,0.125858333333333,1.01128316666667,-0.25372775
"66","1.18","s2_pdam_1",0.384983333333333,0.127483333333333,0.2575,0.86695,0.120541666666667,0.746408333333333,0.252216666666667,0.114575,0.137641666666667,6.88149366666667,1.03713925
"67","1.4","s2_pdam_2",0.445,0.127483333333333,0.317516666666667,1.03738333333333,0.120541666666667,0.916841666666667,0.267833333333333,0.114575,0.153258333333333,8.62263216666667,1.67795075
"68","1.11","s2_pdam_3",0.297916666666667,0.127483333333333,0.170433333333333,0.4464,0.120541666666667,0.325858333333333,0.275833333333333,0.114575,0.161258333333333,1.875506,-0.348947249999999
"69","1.14","s2_prus_1",0.293533333333333,0.127483333333333,0.16605,0.562633333333333,0.120541666666667,0.442091666666667,0.210116666666667,0.114575,0.0955416666666667,3.91594116666667,0.65209425
"70","1.21","s2_prus_2",0.235916666666667,0.127483333333333,0.108433333333333,0.454916666666667,0.120541666666667,0.334375,0.17005,0.114575,0.055475,3.15393366666667,0.42223425
"71","3.7","s2_prus_3",0.07635,0.0547333333333333,0.0216166666666667,0.154383333333333,0.0528944444444444,0.101488888888889,0.03775,0.0509111111111111,-0.0131611111111111,1.28819172222222,0.5259505
"72","1.12","s2_pver_1",0.434533333333333,0.127483333333333,0.30705,0.935233333333333,0.120541666666667,0.814691666666667,0.2942,0.114575,0.179625,7.17726,1.14665125
"73","1.26","s2_pver_2",0.27695,0.127483333333333,0.149466666666667,0.930966666666667,0.120541666666667,0.810425,0.0508166666666667,0.114575,-0.0637583333333333,9.8554515,2.60297975
"74","1.3","s2_pver_2",0.431666666666667,0.127483333333333,0.304183333333333,1.10021666666667,0.120541666666667,0.979675,0.225083333333333,0.114575,0.110508333333333,9.810623,2.09158075
"75","1.13","s2_stag_1",0.2558,0.127483333333333,0.128316666666667,0.376483333333333,0.120541666666667,0.255941666666667,0.24405,0.114575,0.129475,1.44625533333333,-0.490453249999999
"76","1.7","s2_stag_2",0.298633333333333,0.127483333333333,0.17115,0.411783333333333,0.120541666666667,0.291241666666667,0.278066666666667,0.114575,0.163491666666667,1.45528116666667,-0.25626825
"77","1.16","s2_stag_3",0.224433333333333,0.127483333333333,0.09695,0.310233333333333,0.120541666666667,0.189691666666667,0.181883333333333,0.114575,0.0673083333333333,1.37987083333333,0.35874125
"78","1.9","s2_stag_4",0.2224,0.127483333333333,0.0949166666666667,0.390366666666667,0.120541666666667,0.269825,0.16695,0.114575,0.052375,2.45822683333333,0.36311025
"79","1.6","s2_ten_1",0.2771,0.127483333333333,0.149616666666667,0.490183333333333,0.120541666666667,0.369641666666667,0.221516666666667,0.114575,0.106941666666667,2.975349,0.20246475
"80","1.23","s2_ten_2",0.210583333333333,0.127483333333333,0.0831,0.307033333333333,0.120541666666667,0.186491666666667,0.1966,0.114575,0.082025,1.193366,-0.35009225
"81","1.8","s2_ten_3",0.394566666666667,0.127483333333333,0.267083333333333,0.9287,0.120541666666667,0.808158333333333,0.173833333333333,0.114575,0.0592583333333333,8.426919,2.91147225
"82","2.6","s3_brug_1",0.07195,0.0606277777777778,0.0113222222222222,0.159333333333333,0.0585555555555556,0.100777777777778,0.0391166666666667,0.0565833333333333,-0.0174666666666667,1.33310911111111,0.350663666666667
"83","2.12","s3_brug_2",0.0939166666666667,0.0606277777777778,0.0332888888888889,0.16495,0.0585555555555556,0.106394444444444,0.0663833333333333,0.0565833333333333,0.0098,1.08904161111111,0.285676166666666
"84","2.20","s3_brug_3",0.0704166666666667,0.0606277777777778,0.00978888888888888,0.146233333333333,0.0585555555555556,0.0876777777777778,0.0386333333333333,0.0565833333333333,-0.01795,1.18957261111111,0.368017666666666
"85","2.13","s3_brug_4",0.1294,0.0606277777777778,0.0687722222222222,0.362783333333333,0.0585555555555556,0.304227777777778,0.04195,0.0565833333333333,-0.0146333333333333,3.59120294444444,1.10199066666667
