"","IMG","col","r","g","b","rgb.Pct","h","s","v","hsv.Pct"
"1156","IMG_1473","#2B80D4",0.166666666666667,0.5,0.833333333333333,0,0.166666666666667,0.5,0.833333333333333,0
"1157","IMG_1473","#8080D4",0.5,0.5,0.833333333333333,0,0.5,0.5,0.833333333333333,0
"1158","IMG_1473","#D480D4",0.833333333333333,0.5,0.833333333333333,0,0.833333333333333,0.5,0.833333333333333,0
"1159","IMG_1473","#2BD4D4",0.166666666666667,0.833333333333333,0.833333333333333,0,0.166666666666667,0.833333333333333,0.833333333333333,0
"1160","IMG_1473","#80D4D4",0.5,0.833333333333333,0.833333333333333,0,0.5,0.833333333333333,0.833333333333333,0
"1161","IMG_1473","#D4D4D4",0.833333333333333,0.833333333333333,0.833333333333333,0,0.833333333333333,0.833333333333333,0.833333333333333,0
"1162","IMG_1475","#483D30",0.282352941176471,0.240522875816993,0.188235294117647,0.00443786982248521,0.166666666666667,0.162162162162162,0.290196078431373,0.00443786982248521
"1163","IMG_1475","#6C4225",0.423529411764706,0.259967320261438,0.144117647058824,0.0355029585798817,0.5,0.166666666666667,0.166666666666667,0
"1164","IMG_1475","#D42B2B",0.833333333333333,0.166666666666667,0.166666666666667,0,0.833333333333333,0.166666666666667,0.166666666666667,0
"1165","IMG_1475","#2B802B",0.166666666666667,0.5,0.166666666666667,0,0.0776789024842418,0.423084577114428,0.27843137254902,0.0029585798816568
"1166","IMG_1475","#906B46",0.566143790849673,0.41843137254902,0.272549019607843,0.0443786982248521,0.5,0.5,0.166666666666667,0
"1167","IMG_1475","#D4802B",0.833333333333333,0.5,0.166666666666667,0,0.833333333333333,0.5,0.166666666666667,0
